input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8,0.18082,"[False, True, True, False]","[0, 3, 5, 0]","[0, 0, 3, 3]",
ins-2,OPTIMAL,9,0.193951,"[False, True, True, True, True]","[0, 0, 4, 3, 0]","[0, 3, 3, 0, 6]",
ins-3,OPTIMAL,10,0.197077,"[False, True, True, True, False, True]","[0, 0, 4, 3, 0, 4]","[0, 7, 7, 0, 3, 3]",
ins-4,OPTIMAL,11,0.244502,"[False, True, False, True, False, True, True]","[4, 0, 0, 5, 0, 3, 7]","[0, 0, 3, 8, 8, 3, 0]",
ins-5,OPTIMAL,12,0.222806,"[False, False, False, False, False, False, False, True]","[3, 6, 9, 0, 9, 6, 3, 0]","[0, 0, 0, 0, 5, 4, 3, 6]",
ins-6,OPTIMAL,13,0.240587,"[False, False, False, False, True, False, True, False, False]","[0, 4, 10, 7, 3, 10, 7, 0, 0]","[0, 3, 0, 7, 0, 5, 3, 3, 7]",
ins-7,OPTIMAL,14,0.287963,"[False, True, True, True, True, True, False, True, True]","[3, 10, 3, 8, 3, 6, 0, 0, 4]","[5, 11, 8, 8, 11, 5, 5, 0, 0]",
ins-8,OPTIMAL,15,0.349366,"[False, False, False, False, False, False, False, False, False, False]","[0, 0, 12, 3, 12, 0, 3, 9, 6, 9]","[4, 0, 10, 0, 3, 7, 6, 3, 0, 0]",
ins-9,OPTIMAL,16,0.287057,"[False, False, False, False, False, False, False, False, False, False]","[3, 0, 3, 13, 6, 3, 13, 0, 9, 6]","[5, 12, 0, 0, 0, 8, 6, 0, 0, 7]",
ins-10,OPTIMAL,17,0.494447,"[False, False, True, False, True, False, False, True, False, False, False, True]","[0, 8, 3, 4, 7, 14, 14, 11, 4, 0, 7, 8]","[0, 0, 0, 11, 11, 0, 8, 0, 3, 3, 14, 4]",
ins-11,OPTIMAL,18,1.7181030000000002,"[False, False, False, False, True, False, True, True, False, False, True, True, True, True, False, False]","[7, 15, 0, 15, 0, 15, 0, 0, 6, 11, 10, 0, 3, 11, 10, 6]","[3, 0, 10, 12, 3, 4, 0, 15, 6, 14, 5, 6, 10, 9, 0, 9]",
ins-12,OPTIMAL,19,1.252738,"[False, False, False, False, True, False, False, False, False, True, True, True, False, True]","[6, 3, 0, 6, 12, 3, 9, 16, 0, 6, 0, 11, 12, 3]","[6, 11, 14, 9, 6, 3, 6, 9, 3, 3, 0, 15, 9, 15]",
ins-13,OPTIMAL,20,1.087926,"[False, False, True, True, True, False, True, False, False, False, False, False, False, False]","[4, 10, 11, 4, 0, 4, 4, 10, 7, 13, 7, 16, 16, 0]","[0, 6, 0, 6, 17, 9, 3, 10, 9, 3, 0, 11, 0, 0]",
ins-14,OPTIMAL,21,0.6692929999999999,"[False, True, False, True, True, False, True, False, False, False, False, True, False, False, False]","[3, 3, 9, 0, 9, 3, 7, 9, 6, 0, 12, 3, 12, 16, 16]","[7, 0, 6, 18, 3, 10, 0, 11, 7, 0, 6, 3, 10, 15, 0]",
ins-15,OPTIMAL,22,5.055183,"[False, True, True, True, True, True, False, True, False, False, True, True, False, True, True, True]","[9, 3, 0, 9, 12, 7, 6, 9, 0, 3, 6, 5, 19, 0, 0, 15]","[7, 16, 19, 13, 7, 16, 7, 10, 8, 4, 4, 19, 0, 4, 0, 13]",
ins-16,OPTIMAL,23,2.491187,"[False, False, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True]","[3, 4, 8, 17, 16, 0, 0, 13, 6, 4, 9, 3, 0, 0, 7, 13, 0, 11, 0]","[7, 16, 20, 7, 13, 20, 10, 20, 7, 13, 10, 4, 17, 13, 16, 16, 0, 0, 4]",
ins-17,OPTIMAL,24,11.96188,"[False, True, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True]","[10, 6, 7, 13, 0, 0, 3, 0, 12, 10, 6, 0, 6, 8, 3, 12, 19, 3]","[9, 6, 21, 9, 21, 13, 3, 3, 17, 6, 3, 0, 9, 17, 17, 20, 9, 12]",
ins-18,OPTIMAL,25,5.24945,"[False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, False]","[0, 0, 4, 9, 4, 0, 16, 15, 14, 3, 0, 8, 7, 0, 0, 20, 0, 7, 19]","[9, 0, 0, 0, 12, 3, 9, 0, 22, 9, 22, 3, 12, 6, 19, 15, 12, 15, 6]",
ins-19,OPTIMAL,26,61.726479,"[False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, False, False, True, False, True, True, True]","[8, 19, 7, 0, 0, 0, 0, 0, 3, 14, 12, 11, 10, 9, 7, 6, 22, 7, 3, 0, 8, 12]","[9, 12, 3, 0, 3, 9, 6, 16, 16, 16, 3, 9, 0, 6, 19, 0, 12, 22, 19, 12, 12, 22]",
ins-20,OPTIMAL,27,5.526002,"[False, False, True, True, False, True, False, False, True, True, True, False, True, True, False, True, False, False, True, True, False]","[6, 0, 6, 6, 0, 12, 0, 20, 9, 11, 4, 3, 6, 10, 16, 10, 0, 6, 13, 4, 23]","[11, 16, 17, 14, 9, 14, 0, 7, 11, 17, 20, 0, 0, 3, 7, 7, 20, 3, 3, 23, 7]",
ins-21,OPTIMAL,28,76.444283,"[False, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, False, True, True, False, False, True]","[12, 0, 13, 12, 21, 3, 4, 18, 0, 7, 11, 0, 0, 0, 3, 23, 3, 15, 0, 23, 7, 15]","[12, 21, 21, 6, 18, 15, 21, 21, 7, 3, 15, 18, 0, 3, 11, 24, 3, 6, 24, 0, 6, 10]",
ins-22,FEASIBLE,30,300.00,"[False, False, True, True, True, False, False, True, True, True, True, False, False, False, True, False, True, True, True, True, True, True, True, False]","[11, 11, 0, 8, 4, 26, 8, 1, 14, 11, 11, 0, 5, 8, 14, 25, 19, 20, 14, 2, 9, 13, 17, 3]","[12, 15, 20, 3, 0, 1, 10, 23, 12, 0, 23, 0, 20, 6, 3, 9, 3, 26, 15, 26, 19, 7, 7, 3]",
ins-23,OPTIMAL,30,22.74373,"[False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True]","[11, 6, 0, 24, 4, 9, 0, 14, 19, 17, 0, 14, 0, 5, 0, 17, 0, 9, 21, 0]","[3, 23, 27, 17, 3, 0, 0, 17, 20, 0, 17, 3, 20, 27, 3, 23, 23, 23, 23, 6]",
ins-24,OPTIMAL,31,2.061118,"[False, True, False, False, True, False, True, False, False, False, False, False, False, False, True, True, False, False, False]","[12, 18, 12, 18, 21, 24, 22, 12, 21, 28, 12, 21, 18, 15, 28, 24, 27, 24, 0]","[13, 0, 26, 25, 28, 7, 0, 16, 3, 19, 0, 14, 3, 0, 15, 3, 7, 15, 0]",
ins-25,FEASIBLE,33,300.00,"[False, True, False, True, False, False, True, True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, True, True, True, True, True]","[3, 25, 3, 9, 6, 26, 20, 0, 3, 14, 1, 15, 14, 8, 10, 3, 0, 29, 2, 25, 16, 3, 26, 9, 15, 4, 7]","[15, 14, 18, 20, 16, 6, 17, 0, 23, 6, 6, 20, 23, 9, 0, 30, 9, 4, 3, 26, 16, 10, 29, 16, 26, 26, 12]",
ins-26,OPTIMAL,33,10.458547,"[False, False, True, True, False, True, True, False, True, True, True, True, False, False, False, False, False, True, True, False, True, False, False]","[13, 16, 24, 23, 20, 25, 20, 30, 16, 16, 10, 13, 13, 10, 7, 20, 23, 27, 20, 29, 19, 16, 0]","[3, 29, 23, 17, 13, 0, 20, 3, 26, 3, 0, 6, 9, 3, 0, 23, 13, 13, 9, 17, 29, 9, 0]",
ins-27,OPTIMAL,34,10.302017,"[False, False, False, False, True, True, True, False, False, False, True, True, True, True, True, True, False, False, True, True, True]","[9, 14, 31, 0, 3, 3, 0, 0, 31, 28, 11, 10, 3, 12, 3, 0, 24, 24, 3, 17, 0]","[0, 18, 18, 18, 28, 25, 0, 24, 23, 22, 25, 28, 22, 0, 31, 15, 22, 26, 18, 18, 3]",
ins-28,OPTIMAL,35,50.608524,"[False, True, True, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False]","[14, 9, 4, 7, 4, 13, 4, 11, 4, 14, 11, 13, 0, 7, 17, 17, 0, 17, 4, 7, 0, 21]","[10, 32, 32, 4, 4, 4, 23, 7, 11, 13, 10, 32, 8, 7, 10, 28, 0, 16, 0, 12, 12, 0]",
ins-29,OPTIMAL,36,81.730469,"[False, True, True, False, False, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]","[0, 32, 31, 0, 8, 14, 0, 26, 11, 14, 22, 16, 0, 8, 0, 8, 25, 3, 33, 14, 3, 18, 0]","[15, 15, 0, 18, 22, 18, 24, 26, 18, 26, 18, 0, 0, 15, 33, 18, 29, 29, 21, 21, 15, 21, 3]",
ins-30,FEASIBLE,38,300.00,"[False, False, True, True, True, True, False, True, True, False, True, True, False, True, True, False, False, True, True, True, True, True, False, False, True, True, True]","[16, 0, 6, 3, 30, 12, 6, 12, 1, 3, 23, 20, 0, 9, 13, 11, 33, 29, 19, 15, 8, 9, 32, 3, 23, 9, 0]","[1, 16, 25, 22, 29, 32, 28, 35, 1, 25, 35, 32, 20, 29, 0, 25, 20, 0, 0, 25, 16, 33, 16, 16, 20, 20, 4]",
ins-31,OPTIMAL,38,2.735951,"[False, True, False, False, True, True, True, True, True, True, False, False, False, True, True, True, True, True, True]","[15, 23, 0, 0, 31, 7, 18, 0, 27, 10, 27, 3, 3, 7, 27, 15, 23, 7, 0]","[0, 7, 0, 5, 0, 4, 0, 11, 3, 11, 0, 6, 0, 0, 6, 3, 10, 7, 14]",
ins-32,FEASIBLE,40,300.00,"[False, False, False, True, False, False, True, False, True, True, True, False, True, False, True, True, True, False, False, False, True, False, True, False, False, False, False, False, True]","[10, 5, 19, 0, 12, 5, 13, 22, 14, 15, 19, 6, 15, 10, 0, 30, 22, 30, 8, 14, 26, 5, 20, 14, 34, 34, 25, 0, 0]","[15, 24, 24, 15, 33, 28, 15, 19, 29, 32, 20, 15, 35, 18, 36, 36, 15, 21, 24, 26, 35, 19, 35, 18, 15, 25, 19, 18, 0]",
ins-33,OPTIMAL,40,2.645459,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]","[9, 5, 0, 15, 15, 15, 15, 15, 9, 9, 12, 8, 5, 5, 9, 0, 0, 0, 0, 18]","[16, 0, 33, 9, 33, 25, 0, 15, 4, 24, 0, 0, 4, 18, 19, 36, 12, 0, 20, 0]",
ins-34,OPTIMAL,40,5.083148,"[False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, True, False, False, False, False, False, False, False, False, False]","[6, 5, 4, 0, 3, 0, 2, 13, 11, 2, 6, 2, 6, 8, 0, 8, 9, 13, 2, 4, 0, 9, 9, 0, 0]","[14, 27, 9, 11, 18, 18, 7, 16, 29, 0, 9, 4, 25, 29, 25, 25, 7, 4, 6, 6, 27, 13, 6, 0, 5]",
ins-35,OPTIMAL,40,1.459358,"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, False, False, True, True, True, False, True, False, False, False, False]","[0, 1, 4, 11, 10, 4, 0, 4, 4, 5, 5, 10, 4, 3, 11, 7, 0, 1, 4, 8, 0, 0, 11, 8, 13]","[4, 0, 16, 10, 31, 14, 0, 26, 35, 26, 34, 26, 32, 6, 0, 0, 10, 2, 0, 29, 6, 14, 18, 26, 0]",
ins-36,OPTIMAL,40,1.335488,"[False, False, True, False, True, False, True, False, False, True, False, False, False, True, False, False, True, False, False, True, True, False, False, False, True]","[2, 2, 0, 8, 5, 0, 1, 0, 11, 2, 0, 6, 0, 2, 9, 0, 2, 9, 12, 1, 7, 12, 12, 12, 6]","[14, 7, 27, 0, 2, 4, 0, 22, 28, 4, 28, 31, 10, 5, 16, 0, 26, 0, 25, 2, 26, 30, 16, 0, 28]",
ins-37,FEASIBLE,61,300.00,"[False, False, False, True, False, True, False, True, False, False, True, False, False, False, False, True, False, True, True, True, False, True, True, True, False, False, False, True]","[12, 0, 17, 26, 13, 23, 12, 16, 11, 5, 4, 0, 14, 26, 26, 11, 8, 11, 23, 25, 0, 2, 0, 1, 25, 7, 4, 0]","[16, 44, 9, 43, 37, 26, 23, 0, 0, 40, 58, 0, 5, 51, 38, 9, 40, 4, 23, 58, 22, 40, 17, 20, 5, 19, 23, 58]",
ins-38,FEASIBLE,61,300.00,"[True, True, True, True, False, False, True, False, True, False, False, True, False, True, False, False, False, True, False, False, False, True, True, False, True, False, False, True, False]","[6, 5, 23, 1, 26, 4, 0, 0, 4, 24, 20, 0, 5, 25, 5, 16, 9, 11, 5, 11, 24, 5, 6, 0, 24, 16, 17, 5, 0]","[27, 25, 40, 57, 6, 8, 5, 0, 6, 50, 7, 16, 44, 26, 46, 40, 44, 22, 15, 6, 29, 40, 0, 48, 26, 52, 22, 33, 27]",
ins-39,FEASIBLE,61,300.00,"[True, False, False, False, True, True, False, True, False, True, False, True, False, False, True, False, False, False, False, True, False, False, False, True, False, False, True, False]","[0, 9, 0, 21, 6, 22, 5, 10, 2, 9, 15, 0, 18, 8, 16, 0, 22, 22, 9, 0, 9, 24, 0, 9, 6, 5, 5, 2]","[0, 16, 9, 24, 41, 57, 41, 15, 20, 9, 11, 49, 11, 45, 9, 23, 45, 48, 24, 36, 12, 0, 31, 59, 20, 47, 38, 37]",
ins-40,FEASIBLE,92,300.00,"[False, False, False, False, False, False, True, True, False, False, False, True, False, True, False, False, False, True, True, False, False, False, False, False, True, True, False, False, False, False, True, True, False, False, True, True, False, False, True, True, False, False, True, False, True, False, True, False, False, True, False, True, True, True, True, False, True, False, True, True, True, True, False, True, False, False, False, True, True, True, True, False, True]","[13, 22, 42, 50, 50, 10, 7, 47, 22, 39, 34, 29, 27, 54, 53, 18, 46, 20, 0, 7, 36, 37, 3, 46, 18, 19, 13, 10, 2, 0, 0, 34, 0, 2, 16, 0, 0, 39, 53, 30, 14, 20, 3, 24, 0, 35, 18, 9, 23, 23, 34, 0, 0, 19, 0, 55, 28, 3, 41, 16, 37, 58, 48, 19, 6, 14, 0, 55, 19, 10, 9, 39, 21]","[43, 40, 19, 49, 73, 57, 28, 24, 25, 61, 51, 49, 74, 28, 0, 75, 73, 21, 22, 3, 77, 86, 0, 0, 49, 49, 22, 64, 69, 16, 0, 58, 37, 49, 51, 51, 30, 49, 7, 19, 16, 5, 4, 77, 76, 40, 80, 45, 74, 77, 49, 43, 54, 6, 70, 21, 0, 28, 58, 65, 19, 1, 74, 3, 34, 34, 60, 18, 25, 0, 54, 58, 19]",
